id;name;object;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;parent
392;DB Schenker Rail Schweiz GmbH, Glattbrugg/Schweiz ;Erbringung von Dienstleistungen für Eisenbahnen und eisenbahn- verwandte Betriebe ;233;CHF;233;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
393;DB Schenker Rail Spedkol Sp. z.o.o., K?dzierzyn-Ko?le/Polen ;Agenturdienst- leistungen ;4.034.350;PLN;4.034.350;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Verkehrsgesell- schaft mbH Untermain – VU, Aschaffenburg 
394;DB Schweiz Holding AG, Zug/Schweiz ;Erwerb, Halten, Verwaltung und Veräußerung von Beteiligungen an anderen Unter- nehmen ;101;CHF;101;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
395;DB Services GmbH, Berlin ;Erbringung von Dienstleistungen im Bereich der Reinigung und Schutz von Gebäuden und Anlagen sowie Verkehrsmitteln ;256.05;EUR;256.05;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Vertrieb GmbH, Frankfurt/Main 
396;DB Station&Service Aktiengesellschaft, Berlin ;Betreiben der Per- sonenbahnhöfe für den Personennah- und -fernverkehr ;256.000.000;EUR;256.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
397;DB Systel GmbH, Frankfurt/Main ;Beschaffung, Er- bringung, Ver- marktung und Koordination jeglicher IT & TK Leistungen und zugehöriger Leis- tungen sowie Dienstleistungen ;10.000.000;EUR;10.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Deutsche Bahn Aktiengesellschaft, Berlin 
398;DB Systel UK Limited, Doncaster/ Großbritannien ;IT-Gesellschaft ;100;GBP;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Dienstleistungen GmbH, Berlin 
399;DB Systemtechnik GmbH, Minden ;Erbringung von Ingenieur- und Prüfdienst- leistungen ;1.000.000;EUR;1.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
400;DB UK Holding Limited, Doncaster ;Holding- gesellschaft ;2.859.100;GBP;2.859.100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
401;DB US Holding Corporation, Tarrytown/USA ;Holding- gesellschaft ;14.000.000;USD;14.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Dienstleistungen GmbH, Berlin 
402;DB Waggonbau Niesky GmbH, Niesky ;Entwicklung, Herstellung und Vermarktung von schienengebun- denen Fahrzeugen ;1.525.000;EUR;1.525.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
403;DB Zeitarbeit GmbH, Berlin ;Erbringung und Vermarktung von Personaldienst- leistungen als Personaldienstleis ter des DB- Konzerns ;100;EUR;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
404;DB ZugBus Regionalverkehr Alb- Bodensee GmbH (RAB), Ulm ;Erbringung und Planung von SPNV-Leistungen;9.204.000;EUR;9.204.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
405;DCH Düsseldorfer Container-Hafen GmbH, Düsseldorf ;Betrieb eines Con- tainer-Terminals im Hafen Düsseldorf ;103;EUR;52.53;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker (Asia Pacific) Pte. Ltd. 
406;DEG Deutsche Investitions- und Entwicklungs- gesellschaft mbH, Köln ;Förderung des Aufbaus der Wirtschaft in den Entwick- lungsländern ;750.000.000;EUR;750.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Deutsche Bahn Aktiengesellschaft, Berlin 
407;DEPFA Bank plc, Dublin ;Kreditinstitut ;1.248.000;EUR;1.248.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Dienstleistungen GmbH, Berlin 
408;DEPFA ACS Bank, Dublin ;Kreditinstitut ;510.000.000;EUR;510.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Deutsche Bahn Aktiengesellschaft, Berlin 
409;DEPFA Hold Six Ltd, Dublin ;Finanzholding- Gesellschaft ;1.647.000;EUR;1.647.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
410;Deutsche Bahn Finance B.V., Amsterdam/ Niederlande ;Finanzierung und Erbringung von Finanzdienst- leistungen für die Deutsche Bahn AG und deren Beteili- gungsgesellschaf- ten ;100;EUR;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
411;Deutsche Bahn France Voyages & Tourisme SAS, Paris/Frankreich ;Vermarktung von Personenverkehrs -leistungen sowie Vermittlung und Veranstaltung von Reisen ;153;EUR;153;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Regio UKArriva Trains Holdings Limited, London 
412;Deutsche Bahn Iberica Holding S.L., Barcelona/Spanien ;Holding- gesellschaft ;;EUR;;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Regio Aktiengesellschaft, Frankfurt/Main 
413;Deutsche Bahn Stiftung gGmbH, Berlin ;Ideelle und materielle Förderung der Allgemeinheit ;100;EUR;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Schenker (Asia Pacific) Pte. Ltd., Singapur 
414;Deutsche Gesellschaft zum Bau und Betrieb von Endlagern für Abfallstoffe mbH (DBE), Peine ;Planung, Bau und Betrieb von An- lagen zur Sicher- stellung und zur Endlagerung von radioaktiven Ab- fällen nach § 9 Abs. 3 AtG sowie von Anlagen zur Endlagerung sonstiger Abfälle ;2.812.105;EUR;703.026;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
415;Deutsche Industrieholz GmbH, Essen ;Handel mit Holz, Grubenholz für Bergbau, Be- und Verarbeitung von Holz ;500.000356.622;EUR;275.000196.142;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
