id;name;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;children;parents;parent;type
264;Arriva Scotrail Limited, Sunderland/ Großbritannien ;10000000;GBP;10000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva (2007) Limited, Sunderland ;Mantelgesellschaft
265;Arriva Services a.s., Kraluv Dvur/Tschechien ;10000000;CZK;10000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Passenger Services Limited, Sunderland ;Personenverkehr
266;Arriva Southend Limited, Sunderland/ Großbritannien ;1854000;GBP;1854000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Personenvervoer Nederland BV, Heerenveen ;Personenverkehr
267;Arriva Southern Counties Limited, Sunderland/ Großbritannien ;110,196;GBP;110,196;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Personenvervoer Nederland BV, Heerenveen ;Holding- gesellschaft
268;Arriva Spolka z o.o., Tourun/Polen ;157583750;PLN;156906140179;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Personenvervoer Nederland BV, Heerenveen ;Personenverkehr
269;Arriva Stajerska, druzba za prevoz potnikov, d.d., Maribor/Slowenien ;2051765;EUR;1557290;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Findiv (2007) Limited, Sunderland ;
270;Arriva Sverige AB, Stockholm/Schweden ;10000000;SEK;10000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Bus & Coach Holdings Limited, Sunderland ;Busgesellschaft- Personenverkehr
271;Arriva Techniek BV, Heerenveen/ Niederlande ;75;EUR;75;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Bus & Coach Holdings Limited, Sunderland ;Personenverkehr
272;Arriva Tees & District Limited, Sunderland/ Großbritannien ;1000000;GBP;1000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Bus & Coach Holdings Limited, Sunderland ;Personenverkehr
273;Arriva Teplice s.r.o., Teplice/Tschechien ;4500000;CZK;4500000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Arriva Europe GmbH, Berlin ;Öffentlicher Personenverkehr
