,Heerenveen/,Logistik,,11.842,,Arriva Finance
,Niederlande,,,,"13,16","Holding BV,"
,,,,,"13,1579",Heerenveen
,,,,,,
115,"AS Schenker,",Speditions-,114.304,114.304,100,DB Mobility Logistics
,Tallin/Estland,dienstleistungen,,,,"AG, Berlin"
,,,,,,
,,,,,,
116,ASIMEX Anterist +,Logistische,686.250,686.250,100,DB France Holding
,Schneider Import –,Dienstleistungen,,,,"SAS, Gennevilliers"
,"Export S.a.r.L., Stiring-",,,,,Cedex
,Wendel,,,,,
,,,,,,
117,ASTRA Grundstücks,Immobilien,52.500,52.500,100,KfW Beteili-
,"GmbH i.L.,",,,,,"gungsholding GmbH,"
,Frankfurt/Main,,,,,Bonn
,,,,,,
,,,,,,
118,ATLANTIQUE,Transport &,256.000,256.000,100,"Joyau S.A.,"
,"EXPRESS SAS,",Logistik,,,,Montaigu Cedex
,Montaigu,,,,,
,Cedex/Frankreich,,,,,
,,,,,,
119,ATS Air Transport,Verkehr,100.000,26.000,26,Schenker Schweiz
,"Service AG,",,CHF,CHF,,"AG, Zürich"
,Zürich/Schweiz,,,,,
,,,,,,
,,,,,,
120,"Autokraft GmbH,",Personenbeförde-,3.580.000,3.580.000,100,DB Regio
,Kiel1)3),rung mit Kraftfahr-,,,,"Aktiengesellschaft,"
,,zeugen im Linien-,,,,Frankfurt/Main
,,verkehr in Schles-,,,,
,,wig-Holstein,,,,
,,,,,,
121,Autoservizi F.V.G.,Personenverkehr,14.000.000,8.400.000,60,"Arriva Italia s.r.l.,"
,"S.P.A. – SAF,",,,,,Milano
,Udine/Italien,,,,,
,,,,,,
122,Autoterminal Śląsk,Logistikleistungen,4.000.000,2.000.000,50,ATG
,"Logistic Sp. z o. o.,",im Bereich des,PLN,PLN,,Autotransportlogistic
,Sosnowiec/Polen,Kraftfahrzeugver-,,,,"Sp. z o. o.,"
,,triebes,,,,Malaszewicze
,,,,,,
123,Auxiliar Logística de,,60.000,60.000,100,Compañía
,"Vehiculos S.L.,",,,,,Aragonesa de
,Zaragoza/Spanien,,,,,"Portacoches S.A.,"
,,,,,,Zaragoza
124,AVR Arbeitsge-,Abbau und  3.119.000,3.119.000,100,Energiewerke Nord
,meinschaft Versuchs-,Entsorgung des,,,GmbH
